No,Service_type,Cost_Type,Product_Group,Serial_No,City,Product_Date,Receipt_Date,Appoint_Date,Complete_Date,TAT01,TAT02,Job_Satus,Defect_Des,Symptom_Desc,Repair_Action_Desc,Labor_Charge_Desc,Engineer,Labor_Charge_Amount,Parts_Amount,Discount_Amount,Total_Invoice_Amount
525,0,Normal Warranty,PRINTER - MONO LAS,GS2ABNMZ2/IP-AIPW,Tehran,,12/30/2012,12/30/2012,1/1/2013,0,2,1,WORN-OUT,OTHER PROBLEMS,OTHER REPAIR,Medium,Tech20,240000,0,48000,182000
526,0,Normal Warranty,HARD DISK DRIVE,SAVSJAKZ2/IPIPKLIP,Tehran,,12/30/2012,1/1/2013,1/1/2013,2,2,1,WORN-OUT,OTHER PROBLEMS,SOFTWARE UPGRADE,Maximum,Tech07,180000,0,36000,144000
527,0,Out of Warranty,AUDIO - MP3 Player,2/ZZIP/U2A,Tehran,,12/30/2012,12/31/2012,1/5/2013,1,6,1,Software Bug,NO POWER,FIRMWARE UPGRADE,Minor,Tech08,70000,0,14000,56000
528,0,Extended Warranty,HARD DISK DRIVE,E2ZJA/Z-E-E,Tehran,40183,12/30/2012,1/1/2013,1/20/2013,2,21,1,WORN-OUT,OTHER PROBLEMS,SET EXCHANGE,Minimum,Tech07,50000,202204.8,50440.86,201763.84
529,0,Out of Warranty,HARD DISK DRIVE,S2IPCJ2BB4/KL2Z,Tehran,,12/31/2012,1/1/2013,1/21/2013,1,21,1,WORN-OUT,OTHER PROBLEMS,REPAIR REFUSAL,Free Of Charge,Tech07,0,0,0,0
530,0,Normal Warranty,DIGITAL CAMERA,AAZAC2AC2/ARAQK,FARDIS,,12/31/2012,1/1/2013,1/2/2013,1,2,1,WORN-OUT,Test OK,No Action,Free Of Charge,Tech11,0,0,0,0
531,0,Out of Warranty,AUDIO - MP3 Player,AU/ZZ74IP2W,BANDAR ABBAS,40178,12/31/2012,12/31/2012,1/9/2013,0,8,1,Software Bug,NO POWER,FIRMWARE UPGRADE,Maximum,Tech08,170000,77030.4,48406.08,187624.32
532,0,Out of Warranty,DVD PLAYER,2FC/AHCS2EKLIP7K,Tehran,38821,12/31/2012,12/31/2012,1/5/2013,0,5,1,WORN-OUT,OTHER PROBLEMS,ELECTRICAL PARTS REPLACEMENT,Maximum,Tech14,145000,75104.64,44020.828,176083.712
533,0,Out of Warranty,PRINTER - MONO LAS,2P7IPBADSBE77KLV,Tehran,38824,12/31/2012,12/31/2012,1/2/2013,0,2,1,WORN-OUT,OTHER PROBLEMS,OTHER REPAIR,Major,Tech20,300000,0,60000,240000
534,0,Out of Warranty,AUDIO - MP3 Player,AUAZKLA/QE/H,Tehran,40184,12/31/2012,12/31/2012,1/10/2013,0,10,1,DEFORMED,SHORT BATTERY LIFE,ELECTRICAL PARTS REPLACEMENT,Medium,Tech08,120000,288286.27,81657.254,326628.016
535,0,Out of Warranty,DIGITAL CAMERA,AAA-CA/QCEQE2N,Tehran,38458,12/31/2012,12/31/2012,1/6/2013,0,6,1,DEFORMED,OTHER PROBLEMS,SCRAP,Free Of Charge,Tech11,0,0,0,0
536,0,Out of Warranty,HARD DISK DRIVE,&24KLJ2/ZIP44/2&,Tehran,40181,12/31/2012,1/1/2013,1/1/2013,1,1,1,WORN-OUT,OTHER PROBLEMS,REPAIR REFUSAL,Free Of Charge,Tech07,0,0,0,0
